No.,Tags,Human_question,Ground_truth,Evidence,Source,,
1,ภัยพิบัติตามธรรมชาติ,น้ำกำลังจะเข้าบ้าน ควรเก็บอะไรลงถุงยังชีพหนีน้ำบ้าง?,เก็บข้าวสาร อาหารแห้ง น้ำดื่ม ยาประจำตัว ไฟฉาย และเอกสารสำคัญใส่ถุงซิปกันน้ำ หากต้องการขออพยพสามารถกดแจ้งในแอปพ้นภัยได้เลยครับ,"""เครื่องอุปโภคบริโภค เช่น ข้าวสาร อาหารแห้ง... ยารักษาโรค... เอกสารสำคัญต่างๆ ให้เก็บไว้ในถุงพลาสติกกันน้ำ""",หน้า 5-6,,
2,ภัยพิบัติตามธรรมชาติ,น้ำท่วมถนนหน้าบ้าน ลุยน้ำออกไปซื้อข้าวได้ไหม?,ถ้าน้ำเชี่ยวห้ามลุยเด็ดขาดครับ หากจำเป็นต้องใช้ไม้คลำทางเพื่อป้องกันตกท่อ แนะนำให้กดขอรับถุงยังชีพหรืออาหารผ่านแอปพ้นภัยแทนการออกไปเสี่ยงครับ,"""หลีกเลี่ยงการเดินลุยน้ำ... ใช้ไม้สำรวจเส้นทาง... นำวัสดุที่สามารถลอยน้ำได้ มาใช้ยึดเกาะ""",หน้า 15-16,, 
3,ภัยพิบัติตามธรรมชาติ,ปลั๊กไฟที่บ้านอยู่ต่ำ ตอนนี้น้ำปริ่มๆ แล้ว ทำไงดี?,รีบสับคัทเอาท์ตัดไฟทั้งบ้านทันที และห้ามจับเครื่องใช้ไฟฟ้าตอนตัวเปียก หากต้องการความช่วยเหลือเร่งด่วนกดแจ้งในแอปพ้นภัยครับ,"""ตัดกระแสไฟฟ้าที่แผงสวิตช์ไฟรวม... ห้ามใช้และสัมผัสเครื่องใช้ไฟฟ้าในขณะที่ตัวเปียกชื้น""",หน้า 17-18,,
4,ภัยพิบัติตามธรรมชาติ,เดินลุยน้ำมาหลายวัน เท้าเปื่อยและคันมาก ทำยังไงดี?,ล้างเท้าด้วยน้ำสะอาดและเช็ดให้แห้งสนิททันทีเพื่อป้องกันโรคน้ำกัดเท้า สามารถกดร้องขอชุดยาสามัญผ่านแอปพ้นภัยได้ครับ,"""ล้างเท้าให้สะอาดหลังเดินลุยน้ำท่วม จะช่วยป้องกันโรคน้ำกัดเท้า โรคเท้าเปื่อย""",หน้า 19,,
5,ภัยพิบัติตามธรรมชาติ,มีงูหนีน้ำเข้ามาซ่อนอยู่ใต้ตู้เสื้อผ้า ตกใจมาก!,ถอยห่าง ปิดประตูขังไว้ในห้อง ห้ามตีหรือจับเองเด็ดขาด โทร 199 หรือใช้แอปพ้นภัยเรียกกู้ภัยมาจับสัตว์ครับ,"""ระมัดระวังสัตว์มีพิษที่อาจหนีน้ำท่วมเข้ามาอาศัยอยู่ในบ้าน โดยเฉพาะบริเวณใต้ตู้""",หน้า 20,,
6,ภัยพิบัติตามธรรมชาติ,ขับรถอยู่เจอน้ำท่วมทาง ลุยขับฝ่าไปเลยได้ไหม?,ห้ามขับลุยเด็ดขาด รถอาจถูกน้ำพัดจมได้ ให้วนรถกลับ สามารถเช็คเส้นทางเลี่ยงและสถานการณ์น้ำผ่านแอปพ้นภัยครับ,"""ห้ามใช้รถยนต์ผ่านเส้นทางที่มีน้ำท่วมสูง เพราะรถจะไม่สามารถต้านความแรงของกระแสน้ำ""",หน้า 16,,
7,ภัยพิบัติตามธรรมชาติ,น้ำท่วมมิดชั้นล่างแล้ว ติดอยู่ชั้นสอง ออกไม่ได้!,ตั้งสติ รอในที่ปลอดภัย ห้ามว่ายน้ำหนีเองถ้าน้ำเชี่ยว กดปุ่มขอความช่วยเหลือฉุกเฉินในแอปพ้นภัย ระบบจะส่งพิกัดให้เรือกู้ภัยไปรับทันทีครับ,"""กรณีน้ำท่วมรุนแรงจนต้องอพยพ ตั้งสติ... โดยหนีไปตามเส้นทางที่ปลอดภัย""",หน้า 13,,
8,ภัยพิบัติตามธรรมชาติ,น้ำล้นตลิ่งกำลังจะเข้าสวนผลไม้ ต้องป้องกันยังไง?,รีบวางแนวกระสอบทราย เตรียมเครื่องสูบน้ำ และรีบเก็บผลผลิตที่เก็บได้ สามารถแจ้งพิกัดสวนที่เสียหายเพื่อรับการเยียวยาผ่านแอปพ้นภัยครับ,"""เสริมแนวคันกั้นน้ำให้สูงขึ้น... จัดเตรียมเครื่องสูบน้ำระบายน้ำ... เร่งเก็บผลผลิต""",หน้า 11,,
9,ภัยพิบัติตามธรรมชาติ,จะจัดกระสอบทรายกั้นหน้าบ้าน วางยังไงให้แน่นหนา?,วางกระสอบทรายแบบสลับฟันปลาให้ฐานกว้างกว่าความสูง เพื่อไม่ให้คันกั้นพังทลาย แจ้งขอรับกระสอบทรายผ่านแอปพ้นภัยได้ครับ,"""นำกระสอบทรายมาเสริมแนวคันกั้นน้ำให้สูงขึ้น... ให้อยู่ในสภาพมั่นคง""",หน้า 10,,
10,ภัยพิบัติตามธรรมชาติ,น้ำลดแล้ว เหม็นโคลนมาก จะเข้าไปทำความสะอาดเลยไหม?,ต้องสวมรองเท้าบู๊ตและถุงมือยางก่อนเข้าบ้าน เพื่อป้องกันเศษแก้วและสัตว์มีพิษ กดขอรับชุดทำความสะอาดผ่านแอปพ้นภัยได้ครับ,"""สวมรองเท้าบู๊ททุกครั้งที่เดินลุยน้ำ เพื่อป้องกันการเหยียบเศษวัสดุ... ระมัดระวังสัตว์มีพิษ""",หน้า 20,,
